,lgID,teamID,franchID,name
2624,NL,WAS,WSN,Washington Nationals
2625,AL,BAL,BAL,Baltimore Orioles
2626,AL,BOS,BOS,Boston Red Sox
2627,AL,CHA,CHW,Chicago White Sox
2628,AL,CLE,CLE,Cleveland Indians
2629,AL,DET,DET,Detroit Tigers
2630,AL,KCA,KCR,Kansas City Royals
2631,AL,LAA,ANA,Los Angeles Angels of Anaheim
2632,AL,MIN,MIN,Minnesota Twins
2633,AL,NYA,NYY,New York Yankees
2634,AL,OAK,OAK,Oakland Athletics
2635,AL,SEA,SEA,Seattle Mariners
2636,AL,TBA,TBD,Tampa Bay Rays
2637,AL,TEX,TEX,Texas Rangers
2638,AL,TOR,TOR,Toronto Blue Jays
2639,NL,ARI,ARI,Arizona Diamondbacks
2640,NL,ATL,ATL,Atlanta Braves
2641,NL,CHN,CHC,Chicago Cubs
2642,NL,CIN,CIN,Cincinnati Reds
2643,NL,COL,COL,Colorado Rockies
2644,NL,FLO,FLA,Florida Marlins
2645,NL,HOU,HOU,Houston Astros
2646,NL,LAN,LAD,Los Angeles Dodgers
2647,NL,MIL,MIL,Milwaukee Brewers
2648,NL,NYN,NYM,New York Mets
2649,NL,PHI,PHI,Philadelphia Phillies
2650,NL,PIT,PIT,Pittsburgh Pirates
2651,NL,SDN,SDP,San Diego Padres
2652,NL,SFN,SFG,San Francisco Giants
2653,NL,SLN,STL,St. Louis Cardinals
2654,NL,WAS,WSN,Washington Nationals
2655,AL,BAL,BAL,Baltimore Orioles
2656,AL,BOS,BOS,Boston Red Sox
2657,AL,CHA,CHW,Chicago White Sox
2658,AL,CLE,CLE,Cleveland Indians
2659,AL,DET,DET,Detroit Tigers
2660,AL,KCA,KCR,Kansas City Royals
2661,AL,LAA,ANA,Los Angeles Angels of Anaheim
2662,AL,MIN,MIN,Minnesota Twins
2663,AL,NYA,NYY,New York Yankees
2664,AL,OAK,OAK,Oakland Athletics
2665,AL,SEA,SEA,Seattle Mariners
2666,AL,TBA,TBD,Tampa Bay Rays
2667,AL,TEX,TEX,Texas Rangers
2668,AL,TOR,TOR,Toronto Blue Jays
2669,NL,ARI,ARI,Arizona Diamondbacks
2670,NL,ATL,ATL,Atlanta Braves
2671,NL,CHN,CHC,Chicago Cubs
2672,NL,CIN,CIN,Cincinnati Reds
2673,NL,COL,COL,Colorado Rockies
2674,NL,FLO,FLA,Florida Marlins
2675,NL,HOU,HOU,Houston Astros
2676,NL,LAN,LAD,Los Angeles Dodgers
2677,NL,MIL,MIL,Milwaukee Brewers
2678,NL,NYN,NYM,New York Mets
2679,NL,PHI,PHI,Philadelphia Phillies
2680,NL,PIT,PIT,Pittsburgh Pirates
2681,NL,SDN,SDP,San Diego Padres
2682,NL,SFN,SFG,San Francisco Giants
2683,NL,SLN,STL,St. Louis Cardinals
2684,NL,WAS,WSN,Washington Nationals
2685,AL,BAL,BAL,Baltimore Orioles
2686,AL,BOS,BOS,Boston Red Sox
2687,AL,CHA,CHW,Chicago White Sox
2688,AL,CLE,CLE,Cleveland Indians
2689,AL,DET,DET,Detroit Tigers
2690,AL,KCA,KCR,Kansas City Royals
2691,AL,LAA,ANA,Los Angeles Angels of Anaheim
2692,AL,MIN,MIN,Minnesota Twins
2693,AL,NYA,NYY,New York Yankees
2694,AL,OAK,OAK,Oakland Athletics
2695,AL,SEA,SEA,Seattle Mariners
2696,AL,TBA,TBD,Tampa Bay Rays
