,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
9669,kellyge01,1895.0,9.0,10.0,San Francisco,USA,CA,1984.0,10.0,13.0,USA,CA,Burlingame,George,Kelly,George Lange,190.0,76.0,R,R,1915-08-18,1932-07-26
9678,kellyki01,1857.0,12.0,31.0,Troy,USA,NY,1894.0,11.0,8.0,USA,MA,Boston,King,Kelly,Michael Joseph,170.0,70.0,R,R,1878-05-01,1893-09-02
9819,killeha01,1936.0,6.0,29.0,Payette,USA,ID,2011.0,5.0,17.0,USA,AZ,Scottsdale,Harmon,Killebrew,Harmon Clayton,195.0,72.0,R,R,1954-06-23,1975-09-26
9846,kinerra01,1922.0,10.0,27.0,Santa Rita,USA,NM,2014.0,2.0,6.0,USA,CA,Rancho Mirage,Ralph,Kiner,Ralph McPherran,195.0,74.0,R,R,1946-04-16,1955-09-25
9934,kleinch01,1904.0,10.0,7.0,Indianapolis,USA,IN,1958.0,3.0,28.0,USA,IN,Indianapolis,Chuck,Klein,Charles Herbert,185.0,72.0,L,R,1928-07-30,1944-06-11
9941,klembi99,1874.0,2.0,22.0,Rochester,USA,NY,1951.0,9.0,16.0,USA,FL,Miami,Bill,Klem,William Joseph,157.0,65.0,,,,
9970,kluszte01,1924.0,9.0,10.0,Argo,USA,IL,1988.0,3.0,29.0,USA,OH,Cincinnati,Ted,Kluszewski,Theodore Bernard,225.0,74.0,L,L,1947-04-18,1961-10-01
10113,koufasa01,1935.0,12.0,30.0,Brooklyn,USA,NY,,,,,,,Sandy,Koufax,Sanford,210.0,74.0,R,L,1955-06-24,1966-10-02
10217,kuhnbo99,1926.0,10.0,28.0,Takoma Park,USA,MD,2007.0,3.0,15.0,USA,FL,Jacksonville,Bowie,Kuhn,Bowie Kent,,,,,,
10293,lajoina01,1874.0,9.0,5.0,Woonsocket,USA,RI,1959.0,2.0,7.0,USA,FL,Daytona Beach,Nap,Lajoie,Napoleon,195.0,73.0,R,R,1896-08-12,1916-08-26
10346,landike99,1866.0,11.0,20.0,Millville,USA,OH,1944.0,11.0,25.0,USA,IL,Chicago,Kenesaw,Landis,Kenesaw Mountain,,,,,,
10406,larkiba01,1964.0,4.0,28.0,Cincinnati,USA,OH,,,,,,,Barry,Larkin,Barry Louis,185.0,72.0,R,R,1986-08-13,2004-10-03
10430,larusto01,1944.0,10.0,4.0,Tampa,USA,FL,,,,,,,Tony,LaRussa,Anthony,175.0,72.0,R,R,1963-05-10,1973-04-06
10437,lasorto01,1927.0,9.0,22.0,Norristown,USA,PA,2021.0,1.0,7.0,USA,CA,Fullerton,Tom,Lasorda,Thomas Charles,175.0,70.0,L,L,1954-08-05,1956-07-08
10507,lazzeto01,1903.0,12.0,6.0,San Francisco,USA,CA,1946.0,8.0,6.0,USA,CA,San Francisco,Tony,Lazzeri,Anthony Michael,170.0,71.0,R,R,1926-04-13,1939-06-07
10635,lemonbo01,1920.0,9.0,22.0,San Bernardino,USA,CA,2000.0,1.0,11.0,USA,CA,Long Beach,Bob,Lemon,Robert Granville,180.0,72.0,L,R,1941-09-09,1958-07-01
10649,leonabu99,1907.0,9.0,8.0,Rocky Mount,USA,NC,1997.0,11.0,27.0,USA,NC,Rocky Mount,Buck,Leonard,Walter Fenner,185.0,70.0,L,L,,
10735,leylaji99,1944.0,12.0,15.0,Toledo,USA,OH,,,,,,,Jim,Leyland,James Richard,175.0,71.0,R,R,,
10802,lindsfr01,1905.0,11.0,21.0,Chicago,USA,IL,1981.0,10.0,4.0,USA,IL,Chicago,Freddie,Lindstrom,Frederick Charles,170.0,71.0,R,R,1924-04-15,1936-05-15
10874,lloydpo99,1884.0,4.0,25.0,Palatka,USA,FL,1964.0,3.0,19.0,USA,NJ,Atlantic City,John Henry,Lloyd,John Henry,180.0,71.0,L,R,,
